Cities,Countries,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Date
Vuktyl,RU,63.86,57.31,-19.3,88,93,1.6,02-09-2021
Busselton,AU,-33.65,115.33,55.0,97,90,6.8,02-09-2021
Provideniya,RU,64.38,-173.3,-5.3,77,0,13.9,02-09-2021
Boyolangu,ID,-8.12,111.89,75.5,88,93,2.2,02-09-2021
Honiara,SB,-9.43,159.95,78.6,82,30,6.2,02-09-2021
Rikitea,PF,-23.12,-134.97,78.4,71,48,6.9,02-09-2021
Charters Towers,AU,-20.1,146.27,73.4,92,78,11.4,02-09-2021
Hilo,US,19.73,-155.09,68.0,68,90,3.4,02-09-2021
Tamiahua,MX,21.27,-97.45,79.1,71,8,6.5,02-09-2021
Kawalu,ID,-7.38,108.21,72.6,90,96,1.2,02-09-2021
Cape Town,ZA,-33.93,18.42,72.0,83,20,21.8,02-09-2021
Quatre Cocos,MU,-20.21,57.76,80.0,73,20,6.9,02-09-2021
Cabo San Lucas,MX,22.89,-109.91,74.0,53,1,8.0,02-09-2021
Dikson,RU,73.51,80.55,-28.9,87,96,9.6,02-09-2021
Punta Arenas,CL,-53.15,-70.92,68.0,52,0,6.9,02-09-2021
Tasiilaq,GL,65.61,-37.64,17.6,57,75,16.1,02-09-2021
Hobart,AU,-42.88,147.33,50.0,81,90,5.8,02-09-2021
Bluff,NZ,-46.6,168.33,51.7,85,100,12.7,02-09-2021
Pastos Bons,BR,-6.6,-44.08,80.4,74,100,4.3,02-09-2021
Arkadelphia,US,34.12,-93.05,42.8,89,90,9.2,02-09-2021
Ushuaia,AR,-54.8,-68.3,64.4,55,20,4.6,02-09-2021
Saint-Ambroise,CA,48.55,-71.33,17.0,48,20,5.8,02-09-2021
Khatanga,RU,71.97,102.5,-20.1,84,0,9.6,02-09-2021
Kapaa,US,22.08,-159.32,67.0,68,90,10.4,02-09-2021
Hirara,JP,24.8,125.28,66.5,75,63,18.8,02-09-2021
Tuktoyaktuk,CA,69.45,-133.04,-40.0,74,20,9.2,02-09-2021
Clyde River,CA,70.47,-68.59,1.4,92,20,25.3,02-09-2021
Palauig,PH,15.44,119.9,78.4,73,64,7.0,02-09-2021
At-Bashi,KG,41.17,75.81,24.3,84,100,1.2,02-09-2021
